date,route_type,total_stops,distance_km,delivery_time_hours,fuel_used_l,last_service_days,on_time_deliveries,late_deliveries,delivery_success_rate,breakdown,maintenance_cost
2025-02-03,Urban,133,82.8082517557291,2.2158515897132522,7.51606290252669,11,117,16,0.8796992481203008,1,103.29597775436895
2025-02-26,Urban,116,95.15500594837357,3.0663168934587097,10.451654741141173,44,99,17,0.853448275862069,1,206.1563221247486
2025-02-18,Suburban,170,157.31459751335007,5.928364859514824,16.09425222229008,58,155,15,0.9117647058823529,1,257.92532813000605
2025-03-28,Rural,171,117.79514193914328,4.544112293662261,14.110355471687852,16,155,16,0.9064327485380117,1,166.4001549285152
2025-02-22,Suburban,119,124.68680621743206,4.838445125476998,13.631983679039648,51,104,15,0.8739495798319328,1,212.57248502185317
2025-01-23,Urban,113,68.36644894287099,2.226756807767928,6.144767998788511,55,99,14,0.8761061946902655,1,204.96476642076072
2025-03-10,Rural,175,122.70290008557386,4.082127504481145,14.257249193351166,27,160,15,0.9142857142857143,1,232.7878663311223
2025-02-22,Urban,158,149.8595394701095,4.189642079880439,14.152862342600043,51,147,11,0.930379746835443,0,220.73830121170957
2025-03-03,Rural,96,98.74872357334804,2.7322185371013457,8.46197371892259,11,83,13,0.8645833333333334,0,120.07472088373164
2025-02-10,Rural,112,128.79841650103117,4.999393266426179,12.015509529830059,16,99,13,0.8839285714285714,0,143.22116605827543
2025-02-26,Urban,126,128.93554688625755,4.553315488749124,11.466964785206049,23,102,24,0.8095238095238095,1,158.65770247198006
2025-03-01,Suburban,131,131.40185064203246,4.5133673394952645,15.576531331220746,59,120,11,0.916030534351145,1,244.86298158383755
2025-02-23,Urban,159,133.02014536185337,4.004920377816196,14.775210425461406,12,147,12,0.9245283018867925,0,141.67224591590636
2025-03-11,Urban,172,103.3325527143659,3.8035036036290313,8.924785431224972,59,163,9,0.9476744186046512,0,192.36928517222572
2025-02-26,Suburban,88,59.144408861240834,2.189794136336134,5.445866319581793,40,79,9,0.8977272727272727,0,159.9331818555316
2025-01-10,Suburban,112,103.12206540760582,2.633564990231628,9.766997776015899,3,101,11,0.9017857142857143,0,97.03484222886331
2025-02-09,Rural,139,139.7058324794246,3.7694106817428414,13.111680405885382,2,127,12,0.9136690647482014,1,89.2825397205252
2025-01-07,Suburban,172,146.2806628981149,5.279018205674425,15.147940240226625,38,161,11,0.936046511627907,1,222.0409760879599
2025-02-07,Urban,156,161.99155547905733,5.208980057195787,19.807663061757502,48,144,12,0.9230769230769231,1,216.35848393907074
2025-03-26,Rural,100,91.31173771993073,3.0101781629412496,8.198388827730978,52,89,11,0.89,1,207.32319825093978
2025-03-02,Rural,137,88.29728327785247,2.39514815971785,8.240643500403587,24,122,15,0.8905109489051095,1,79.06884053029214
2025-03-25,Urban,164,117.29439909524616,3.5921263936213066,11.858438545941901,29,148,16,0.9024390243902439,1,176.625639851626
2025-01-03,Rural,148,163.39184222406215,6.070041744609846,14.086671301830657,47,135,13,0.9121621621621622,1,219.42764608848856
2025-02-20,Urban,89,92.11034066974506,2.552602038625422,9.85702540480389,46,79,10,0.8876404494382022,0,156.95820771586602
2025-03-27,Rural,85,96.63286133763725,3.1218900705103168,10.529567352596429,34,68,17,0.8,1,155.27804507816597
2025-02-16,Urban,92,61.689160151475704,2.131338122650475,5.368389642952654,20,76,16,0.8260869565217391,0,107.1180561072673
2025-03-09,Urban,144,171.95522699074237,5.613493610378214,15.369680547049075,18,132,12,0.9166666666666666,1,186.9911213879242
2025-03-17,Urban,99,71.83875880862605,2.2127144637217833,7.141087028259932,14,82,17,0.8282828282828283,1,115.72791628458809
2025-02-07,Suburban,136,82.56123790499,2.7386462937760925,9.686944645910863,18,127,9,0.9338235294117647,0,96.83083425426372
2025-02-05,Urban,125,149.80672042901654,5.232766904644322,16.907662163371878,2,118,7,0.944,0,137.67343760414508
2025-02-10,Urban,87,66.8720568202349,2.1587278226358135,6.293892792871947,1,72,15,0.8275862068965517,1,44.02118111553895
2025-03-10,Suburban,89,89.07223876417069,3.522369109428861,9.33655122508732,20,79,10,0.8876404494382022,0,112.03464827726062
2025-01-13,Rural,152,107.31342705287904,2.9330651675019386,9.458350194193946,34,139,13,0.9144736842105263,1,171.94975446892738
2025-03-28,Urban,146,138.4280194206448,5.022026867781874,11.731367002439594,41,134,12,0.9178082191780822,1,188.72804831541478
2025-02-27,Urban,90,102.8178892685462,4.007155989456966,9.161724414721917,41,77,13,0.8555555555555555,0,207.24317535373208
2025-02-19,Urban,91,72.08189174159274,2.070992582963929,7.579444228953374,48,78,13,0.8571428571428571,0,185.4273977680176
2025-01-30,Urban,89,89.19156232076878,2.4363260444120294,7.995840029363792,11,84,5,0.9438202247191011,0,129.1149599253491
2025-03-03,Rural,104,74.12518394102119,1.9922141907552684,7.880823153866902,27,90,14,0.8653846153846154,0,154.39738066712886
2025-01-25,Rural,128,124.78428662159808,3.851053350138418,14.395307273308225,23,121,7,0.9453125,0,149.52948209874907
2025-01-27,Suburban,128,102.63938701958477,3.6551807763337543,12.619225191415435,38,116,12,0.90625,0,156.01128300410176
2025-02-20,Urban,168,122.08979246566554,3.3858890338958174,12.793827512358906,44,158,10,0.9404761904761905,1,198.0459718059165
2025-03-19,Suburban,90,70.9118307379963,1.997758557085873,6.105595178278249,3,70,20,0.7777777777777778,0,108.80037888286337
2025-02-26,Suburban,141,99.72995439575982,3.4756305270147934,11.13561319897493,12,129,12,0.9148936170212766,0,119.20963143603123
2025-02-16,Rural,115,131.23221144081393,3.404109242659092,14.868731980236115,30,97,18,0.8434782608695652,1,187.4351822615047
2025-02-08,Suburban,118,98.92083155125272,3.723647735900456,8.327171797946049,31,109,9,0.923728813559322,0,160.9155348687656
2025-01-16,Suburban,132,98.62612095396989,2.481764415455927,12.176039585314003,23,119,13,0.9015151515151515,0,114.24998048332677
2025-01-22,Suburban,169,146.8685550790156,3.8747797331060365,13.18019026167001,1,156,13,0.9230769230769231,0,96.072569148107
2025-03-26,Urban,157,124.39450691317188,3.5220798865788594,13.396669777423641,41,141,16,0.8980891719745223,1,225.44672336460272
2025-02-23,Rural,135,141.2979595588794,3.6154924834218654,17.3372754281166,20,124,11,0.9185185185185185,1,137.29847720132352
2025-01-21,Suburban,80,94.61855577050372,2.6404195240509614,8.107004712158087,54,51,29,0.6375,1,192.5574304630993
2025-03-13,Suburban,135,116.48072619250938,4.181402616296348,13.609836156716412,6,126,9,0.9333333333333333,1,138.59210405509336
2025-01-16,Urban,83,92.67946331861756,2.9298957095420555,9.079886327717773,11,65,18,0.7831325301204819,0,94.4888413842368
2025-02-28,Suburban,109,102.40744501079911,3.9277885445113365,11.258245810084958,35,96,13,0.8807339449541285,1,157.5334683052892
2025-01-31,Suburban,91,63.185067314145144,2.0484795385945787,7.64880974397451,4,85,6,0.9340659340659341,0,85.35959704203238
2025-02-11,Urban,114,115.63859555836378,3.2011529885602905,14.102801004319652,29,106,8,0.9298245614035088,0,158.97331920067893
2025-03-15,Urban,156,141.65746893097673,4.5997687318851685,16.739975464719922,59,150,6,0.9615384615384616,0,219.41826043776206
2025-02-01,Suburban,131,129.73767272761535,4.3311706465885615,15.658460313608131,10,111,20,0.8473282442748091,1,130.99848218004016
2025-02-28,Suburban,110,124.71936922972988,3.675748151343694,11.294760335650482,51,98,12,0.8909090909090909,0,227.94138511067788
2025-02-03,Suburban,166,143.46728323734217,3.7672196862467566,14.430040437621646,29,152,14,0.9156626506024096,1,177.27559253104306
2025-01-09,Urban,147,167.68386636777075,6.521175641018664,17.892828588535473,38,131,16,0.891156462585034,1,196.6725707375101
2025-03-22,Suburban,131,137.60258452253805,4.470220643994863,14.224730555586222,1,119,12,0.9083969465648855,1,139.72324523883742
2025-01-11,Urban,159,142.01290992875974,5.187949418463733,12.12149987263216,40,146,13,0.9182389937106918,1,235.13562682032958
2025-01-10,Urban,86,82.72626219995092,2.334900637856143,7.105231527978526,8,75,11,0.872093023255814,0,126.46594883932693
2025-03-27,Urban,101,80.33021663065209,3.021538187223997,7.395046613489306,57,90,11,0.8910891089108911,0,181.6997412669422
2025-01-17,Urban,172,204.70724133304148,5.853441613779437,17.740882231548106,38,157,15,0.9127906976744186,1,206.41908366481695
2025-03-09,Urban,154,154.0632474658566,5.259439340423554,16.6041621006268,17,141,13,0.9155844155844156,1,169.771553297732
2025-02-17,Urban,135,84.55159505222701,3.0214531071327144,8.877332314048996,19,120,15,0.8888888888888888,1,133.6967161246943
2025-02-21,Urban,176,140.09127324698972,3.587917495419148,13.39964612587964,33,158,18,0.8977272727272727,1,161.55011004359505
2025-01-25,Urban,137,133.43644645499452,5.278785497950448,12.714888586962488,15,126,11,0.9197080291970803,0,152.4469019940191
2025-01-21,Suburban,172,109.01359426888155,3.4534409865271702,10.981746522999474,45,157,15,0.9127906976744186,1,196.48417615446675
2025-03-06,Urban,143,87.84926361518244,3.4689566845668476,9.148457335594877,31,126,17,0.8811188811188811,1,185.48300079131988
2025-03-04,Urban,91,79.17132347821801,2.4546282458922972,6.628143247951374,21,82,9,0.9010989010989011,1,122.87572799726453
2025-03-30,Rural,86,68.76681327214176,2.114879603173178,6.093920577913035,3,77,9,0.8953488372093024,0,118.11545575212092
2025-02-20,Urban,134,115.63920808586653,3.877265786374877,11.872705185258283,2,128,6,0.9552238805970149,0,140.42795401097825
2025-02-05,Suburban,141,106.82385401584843,3.959015819834525,9.792115707000582,35,130,11,0.9219858156028369,1,159.95188859892485
2025-03-22,Urban,169,118.10237954001826,3.8537851577180358,13.009381931668083,41,160,9,0.9467455621301775,1,198.1319023142169
2025-03-29,Urban,152,154.0498741566068,4.390893843689833,18.337792128480785,59,139,13,0.9144736842105263,1,240.7958028911984
2025-03-07,Suburban,177,160.8474525476404,4.378476911583796,17.093747999460128,16,173,4,0.9774011299435028,0,157.37542537003847
2025-01-15,Suburban,156,112.33443417294073,3.4080747355814354,11.687027228020671,56,144,12,0.9230769230769231,1,223.09205651986875
2025-02-08,Rural,134,106.09498987130387,3.1344985591478127,13.153116372010516,45,117,17,0.8731343283582089,1,177.2488334584044
2025-03-11,Suburban,115,109.83474562876948,3.921374653471047,9.75513870695738,51,101,14,0.8782608695652174,1,175.01151520195413
2025-01-01,Rural,168,108.08071830586576,3.687508845090735,11.45314307385855,59,155,13,0.9226190476190477,1,211.40135963948302
2025-01-23,Urban,103,70.91259597264988,2.5853680010610227,6.870262048322954,50,89,14,0.8640776699029126,1,209.0739094832826
2025-02-08,Urban,123,79.2055255831254,2.7559880239078423,9.54760504782015,21,109,14,0.8861788617886179,0,127.5365175582615
2025-02-26,Urban,96,104.38947836433324,3.6791445512979117,11.998808111400702,12,84,12,0.875,0,125.72985948146383
2025-03-22,Urban,81,85.16708873410366,2.5972122870568817,7.3681760793221756,28,71,10,0.8765432098765432,0,164.43653376201195
2025-02-03,Suburban,92,96.78287383973498,2.89419601931552,9.275054295050385,12,84,8,0.9130434782608695,0,90.44816303090322
2025-02-10,Suburban,110,113.27747266941785,2.8916337783113324,9.598861562403794,33,97,13,0.8818181818181818,0,181.42088641118892
2025-03-14,Urban,172,172.28057572273048,6.1675123948667645,14.362698936800497,20,166,6,0.9651162790697675,0,209.5373578335291
2025-01-13,Rural,107,94.82288096727882,2.738556230339124,9.99456927858942,40,91,16,0.8504672897196262,1,179.24206081470564
2025-03-11,Rural,139,136.96599883649338,3.6760623406811517,14.895360217721956,49,131,8,0.9424460431654677,0,178.02342089813905
2025-01-06,Urban,106,66.03979488451519,1.9770249756158134,5.776029438785173,21,80,26,0.7547169811320755,1,123.4920746883034
2025-03-25,Urban,94,91.45059343784266,3.172607792490617,7.624411803848934,52,83,11,0.8829787234042553,0,211.92963969648088
2025-02-21,Urban,174,185.61043245804996,6.414016408309733,17.645984368683866,54,163,11,0.9367816091954023,0,253.04670686218176
2025-01-03,Urban,158,142.2339725644402,5.558447286773561,12.72153951131291,39,147,11,0.930379746835443,0,204.566035219372
2025-03-22,Urban,112,91.22489567031032,3.0838325229465378,8.198528936532897,41,92,20,0.8214285714285714,1,185.46464039731143
2025-03-04,Suburban,99,75.87914804717815,2.0979024101945662,8.053949477264243,49,86,13,0.8686868686868687,1,167.29471257373262
2025-02-18,Urban,121,119.26742884176718,4.638451856198851,11.582643936362288,59,109,12,0.9008264462809917,1,211.48864230842838
2025-03-17,Urban,91,92.42694544519303,3.267190181498489,8.156114345865278,42,77,14,0.8461538461538461,0,172.82059971569396
2025-02-16,Rural,152,170.63224510746386,4.793917573068433,15.869142171982613,36,133,19,0.875,1,215.16958882329146
2025-02-24,Suburban,102,82.15084584661263,2.236019391233712,10.161329487287007,22,99,3,0.9705882352941176,0,111.2937577540166
2025-03-05,Rural,151,160.34137104913407,5.037464614543154,17.154639240977204,26,140,11,0.9271523178807947,1,223.2974324132048
2025-03-06,Urban,175,163.94236153988047,4.621855309120305,19.1121729428105,7,160,15,0.9142857142857143,1,97.50298928147065
2025-03-22,Urban,93,105.06227617983681,3.4089786508874615,11.762604524539091,7,78,15,0.8387096774193549,1,82.39664233416993
2025-03-08,Suburban,170,155.8368350461533,5.687745863137963,13.40882803512223,8,164,6,0.9647058823529412,0,154.99186353451012
2025-03-31,Urban,104,94.70010129203315,3.0575797535195135,11.623105369289396,26,98,6,0.9423076923076923,0,158.70102209547832
2025-01-15,Urban,156,147.68929482286907,4.382534429046996,16.633170494428867,24,144,12,0.9230769230769231,0,170.39720866398753
2025-02-01,Suburban,164,172.13263094601552,4.388809874736968,18.632546234127993,24,151,13,0.9207317073170732,1,197.59030141661535
2025-03-09,Suburban,110,129.6695716026784,4.9813013383171905,12.38778333665745,40,99,11,0.9,1,206.18882461271093
2025-01-18,Urban,133,85.67035566641809,2.6270457331118036,8.451748010111942,48,117,16,0.8796992481203008,1,188.83678242892896
2025-03-24,Urban,84,53.093103960507264,1.773684258639714,5.983617451678254,12,61,23,0.7261904761904762,1,105.91128588526213
2025-02-12,Urban,92,106.95277862488508,3.2782787036862313,12.354536221109559,47,74,18,0.8043478260869565,1,134.66091811270874
2025-02-04,Urban,107,98.21801515826883,3.873006370081832,10.97752385766953,8,94,13,0.8785046728971962,0,112.44566849688756
2025-03-19,Urban,122,118.21090066629971,3.9807841957356316,11.809140979292039,54,104,18,0.8524590163934426,1,216.1515865106491
2025-02-27,Urban,168,149.42829904074867,4.00633304864746,16.448326940855956,9,160,8,0.9523809523809523,0,180.9707410426747
2025-02-02,Urban,178,116.80261593847827,3.506625058581783,9.906577962494108,3,168,10,0.9438202247191011,0,97.88778020585545
2025-01-14,Rural,126,133.66755700845118,4.20884354933784,13.562791081865118,54,118,8,0.9365079365079365,1,224.1164695668688
2025-02-03,Suburban,150,157.2502180579728,5.370040075684477,19.094924508583954,21,138,12,0.92,0,199.09779615496987
2025-03-02,Suburban,117,92.0815731687954,3.1245191794922986,8.434645017785336,31,103,14,0.8803418803418803,1,169.243041465281
2025-01-04,Urban,175,137.15512074898203,4.46083374770602,14.723511416087014,48,162,13,0.9257142857142857,1,215.08085870167557
2025-03-29,Urban,146,160.9949049673234,4.289358701426682,15.168228423930481,47,139,7,0.952054794520548,0,243.7438696529627
